ID,h:m:s,d:m:s,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,mag,mag,mag,%,h:m:s,d:m:s
135,02 38 15.61,+42 24 23.2,-0.05,0.67,0.21,0.3,15.61,0.55,0.46,0,02 41 28.70,+42 37 11.2
136,02 38 15.66,+42 27 02.4,-0.26,0.14,0.06,0.07,14.66,0.57,0.5,0,02 41 28.81,+42 39 50.4
137,02 38 15.68,+42 20 50.5,0,0.07,0.04,0.03,10.62,0.33,0.25,99,02 41 28.69,+42 33 38.5
138,02 38 15.75,+42 40 06.7,-0.38,0.71,0.28,0.09,14.9,     ,     ,0,02 41 29.21,+42 52 54.6
139,02 38 15.95,+42 24 15.1,-0.12,0.3,0.33,0.13,15.59,0.83,0.77,6,02 41 29.04,+42 37 03.0
140,02 38 16.03,+42 32 24.4,-0.37,0.65,0.03,0.02,13.12,     ,     ,0,02 41 29.31,+42 45 12.3
141,02 38 16.96,+42 30 22.8,-0.59,0.37,0.04,0.03,14.11,     ,     ,0,02 41 30.20,+42 43 10.7
142,02 38 18.15,+42 36 33.7,-0.01,0.72,0.23,0.57,16.13,0.58,0.48,0,02 41 31.53,+42 49 21.5
143,02 38 18.39,+42 40 24.6,-0.28,0.3,0.03,0.04,14.2,0.56,0.5,0,02 41 31.86,+42 53 12.4
144,02 38 18.68,+42 20 44.3,-0.06,0.95,0.29,0.13,16.06,0.74,0.64,0,02 41 31.70,+42 33 32.1
145,02 38 18.96,+42 41 54.9,-0.13,0.06,0.38,0.14,15.84,0.97,0.87,32,02 41 32.47,+42 54 42.7
146,02 38 19.65,+42 23 55.0,0.05,-0.01,0.02,0.02,12.32,0.56,0.48,99,02 41 32.75,+42 36 42.8
147,02 38 20.08,+42 46 03.0,1.05,-0.53,0.16,0.16,15.34,     ,     ,0,02 41 33.69,+42 58 50.7
148,02 38 20.18,+42 29 24.9,-0.12,-0.03,0.03,0.02,13.92,0.75,0.68,5,02 41 33.40,+42 42 12.6
149,02 38 20.36,+42 29 59.7,0.03,0.71,0.02,0.01,12.33,     ,     ,0,02 41 33.60,+42 42 47.4
150,02 38 20.56,+42 19 35.3,-0.04,0.01,0.02,0.02,12.21,0.6,0.53,99,02 41 33.56,+42 32 23.0
151,02 38 20.89,+42 39 42.8,0.36,0.19,0.07,0.04,14.72,0.71,0.71,0,02 41 34.35,+42 52 30.5
152,02 38 20.95,+42 30 18.9,-0.68,-0.1,0.38,0.31,16.25,0.91,0.88,0,02 41 34.20,+42 43 06.6
