ID Number,X Position,Y Position,B,Sigma 1 B,Sigma 2 B,V,Sigma 1 V,Sigma 2 V,R,Sigma 1 R,Sigma 2 R,I,Sigma 1 I,Sigma 2 I,nB,nV,nR,nI,RA,Declination ,,,,,,
501955,1096.62,852.93,11.514,0.014,0.001,11.231,0.018,0.007,11.034,0.019,0.005,10.848,0.018,0.004,3,2,2,2,40.54215,42.75322,2,42,10.12,42,45,11.6
501265,369.92,30.34,11.598,0.023,0,11.239,0.023,0,11.057,0.03,0,10.856,0.018,0,1,1,1,2,40.7483,42.89535,2,42,59.59,42,53,43.3
502487,1331.71,1348.35,12.314,0.017,0,11.29,0.035,0,10.671,0.036,0,10.118,0.027,0,2,1,1,1,40.41669,42.70572,2,41,40.01,42,42,20.6
503189,52.45,2086.4,11.65,0.026,0,11.314,0.026,0,11.155,0.032,0,10.943,0.03,0,1,1,1,1,40.21501,42.94252,2,40,51.6,42,56,33.1
502365,1282.35,1231.91,11.561,0.024,0,11.32,0.036,0,11.067,0.035,0,10.879,0.031,0,1,1,1,1,40.44621,42.71578,2,41,47.09,42,42,56.8
503509,2113.45,2307.21,11.809,0.018,0,11.367,0.03,0,10.963,0.036,0,10.625,0.031,0,2,1,1,1,40.17748,42.55167,2,40,42.6,42,33,6
501496,1395.19,292.29,11.736,0.029,0,11.373,0.025,0,11.147,0.03,0,10.984,0.027,0,1,1,1,1,40.6888,42.70014,2,42,45.31,42,42,0.5
502123,2346.26,1016.73,12.118,0.013,0.018,11.382,0.019,0.013,10.963,0.018,0.005,10.556,0.017,0.002,3,2,3,3,40.51049,42.51612,2,42,2.52,42,30,58
500604,908.16,-456.53,11.773,0.022,0,11.386,0.023,0,11.129,0.018,0,10.879,0.018,0,1,1,2,2,40.87784,42.79632,2,43,30.68,42,47,46.8
500324,1064.51,-634.47,12.016,0.019,0.021,11.386,0.019,0.014,10.999,0.015,0.013,10.665,0.013,0.048,2,2,4,4,40.92479,42.76772,2,43,41.95,42,46,3.8
503762,2546.96,2471.29,11.849,0.017,0,11.398,0.028,0,11.132,0.036,0,10.808,0.028,0,2,1,1,1,40.13952,42.46864,2,40,33.48,42,28,7.1
503089,697.14,1986.43,12.054,0.018,0,11.426,0.025,0,11.07,0.031,0,10.706,0.022,0,2,1,1,2,40.24677,42.82141,2,40,59.22,42,49,17.1
500902,1281.4,-255.95,11.795,0.027,0,11.465,0.025,0,11.266,0.031,0,11.06,0.025,0,1,1,1,1,40.82895,42.72471,2,43,18.95,42,43,29
502164,1610.37,1052,11.751,0.013,0.002,11.465,0.02,0.01,11.25,0.023,0,11.043,0.016,0.007,4,2,2,3,40.49526,42.65494,2,41,58.86,42,39,17.8
500811,2279.55,-321.11,11.85,0.018,0,11.47,0.025,0,11.138,0.03,0,10.859,0.025,0,2,1,1,1,40.85306,42.53646,2,43,24.73,42,32,11.3
501556,706.28,372.05,11.88,0.022,0,11.472,0.02,0,11.23,0.03,0,11.003,0.025,0,1,2,1,1,40.66282,42.82984,2,42,39.08,42,49,47.4
2847,1139.19,458.16,11.847,0.013,0.023,11.476,0.009,0.015,11.29,0.022,0.004,11.095,0.018,0.009,5,16,2,2,40.6441,42.74754,2,42,34.58,42,44,51.2
502270,518.52,1145.73,11.859,0.017,0.024,11.533,0.018,0.005,11.31,0.017,0.009,11.093,0.016,0.006,2,2,3,3,40.46185,42.86064,2,41,50.84,42,51,38.3
501854,428.91,728.25,11.84,0.018,0,11.534,0.03,0,11.293,0.034,0,99.999,9.999,9.999,2,1,1,0,40.56875,42.88014,2,42,16.5,42,52,48.5
503308,1252.77,2165.05,11.996,0.017,0,11.536,0.029,0,11.247,0.036,0,10.964,0.028,0,2,1,1,1,40.20594,42.71523,2,40,49.43,42,42,54.8
503431,1887.5,2248.02,11.808,0.018,0,11.546,0.029,0,11.205,0.035,0,10.939,0.032,0,2,1,1,1,40.19055,42.59476,2,40,45.73,42,35,41.1
501834,2311.85,707.59,12.006,0.019,0,11.624,0.025,0,11.36,0.03,0,11.102,0.026,0,1,1,1,1,40.58948,42.5245,2,42,21.47,42,31,28.2
501405,2114.87,194.51,12.001,0.019,0,11.68,0.02,0,11.449,0.018,0,11.24,0.019,0,2,1,2,2,40.71953,42.56472,2,42,52.69,42,33,53
502865,-130.34,1713.58,12.67,0.018,0,11.738,0.026,0,11.237,0.036,0,10.73,0.031,0,2,1,1,1,40.30959,42.97956,2,41,14.3,42,58,46.4
501065,1907.04,-140.78,12.659,0.019,0,11.741,0.018,0,99.999,9.999,9.999,10.699,0.028,0,2,2,0,1,40.80402,42.60587,2,43,12.96,42,36,21.1
502786,723.6,1639.14,12.279,0.018,0,11.79,0.023,0,11.474,0.029,0,99.999,9.999,9.999,2,1,1,0,40.33648,42.81873,2,41,20.75,42,49,7.4
503671,2471.85,2406.35,99.999,9.999,9.999,11.797,0.029,0,11.194,0.026,0,10.596,0.027,0,0,1,2,1,40.15544,42.48328,2,40,37.31,42,28,59.8
503916,1982.97,2567.16,12.331,0.017,0,11.799,0.031,0,11.484,0.037,0,11.127,0.032,0,2,1,1,1,40.10956,42.5745,2,40,26.29,42,34,28.2
502061,932.85,963.22,12.075,0.015,0.014,11.812,0.018,0.004,11.661,0.017,0.003,11.489,0.015,0.001,3,2,3,3,40.51239,42.78349,2,42,2.97,42,47,0.6
502972,509.72,1828.06,12.225,0.019,0,11.813,0.025,0,11.572,0.033,0,11.3,0.018,0,2,1,1,2,40.28586,42.85788,2,41,8.61,42,51,28.4
501401,1268.31,189.85,12.237,0.018,0,11.819,0.018,0,11.557,0.021,0,11.296,0.019,0,2,2,2,2,40.71416,42.7247,2,42,51.4,42,43,28.9
503774,752.26,2478.03,12.825,0.018,0,11.824,0.025,0,11.284,0.034,0,10.732,0.023,0,2,1,1,2,40.12065,42.80761,2,40,28.96,42,48,27.4
500136,2363.13,-761.51,12.386,0.021,0,11.831,0.018,0,11.497,0.022,0,11.153,0.019,0,2,2,2,2,40.96661,42.52299,2,43,51.99,42,31,22.8
501286,1580.78,49.21,12.374,0.018,0,11.885,0.018,0,11.607,0.029,0,11.278,0.019,0,2,2,1,2,40.75274,42.66646,2,43,0.66,42,39,59.2
501130,2066.26,-88.1,12.913,0.019,0,11.887,0.019,0,99.999,9.999,9.999,10.763,0.02,0,2,2,0,2,40.79169,42.57549,2,43,10.01,42,34,31.8
502525,28.44,1381.99,12.413,0.02,0,11.893,0.025,0,11.561,0.033,0,11.242,0.019,0,2,1,1,2,40.39664,42.95173,2,41,35.19,42,57,6.2
503770,164.22,2475.12,12.343,0.026,0,11.921,0.019,0,11.678,0.039,0,11.401,0.019,0,1,2,1,2,40.11575,42.91871,2,40,27.78,42,55,7.4
501749,718.25,608.6,12.906,0.01,0.009,11.934,0.019,0,11.375,0.018,0,10.894,0.018,0,8,1,2,2,40.60196,42.82619,2,42,24.47,42,49,34.3
501883,1898.96,770.16,12.591,0.011,0.006,11.936,0.018,0,11.559,0.03,0,11.163,0.026,0,6,2,1,1,40.57005,42.60214,2,42,16.81,42,36,7.7
502146,1014.21,1039.63,12.391,0.009,0.014,11.945,0.015,0.013,11.672,0.017,0.005,11.392,0.013,0.013,9,3,4,4,40.4934,42.76765,2,41,58.42,42,46,3.5
504302,-551.68,2832.43,12.454,0.02,0,12.006,0.023,0,11.7,0.019,0,11.383,0.019,0,2,1,2,2,40.01645,43.05138,2,40,3.95,43,3,5
503010,404.49,1878.63,12.44,0.02,0,12.008,0.018,0,11.75,0.019,0,11.449,0.017,0,2,2,2,2,40.27186,42.87742,2,41,5.25,42,52,38.7
501502,73.73,300.08,12.613,0.019,0,12.03,0.019,0,11.713,0.02,0,11.392,0.018,0,2,2,2,2,40.67637,42.94978,2,42,42.33,42,56,59.2
