  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
   1   0.239357        1     1    0.373209        1       1519.31         42.6667  40.2766     6.37       41        2      0         40       42  11.189  10.652        0.033   -0.132209           0.029        0.032   0.00164288    0.241  10.813  10.948        0.026   503034        0        0.00681498         0            0       2.58751         0           1899.97
   2   0.240157        2     0    0.373844        1       1907.69         42.6017  40.6234    29.61       42        2      6.2       36       42  11.933   9.933        9.999    0.607156           0.025        0.024   0.740843      0.981  99.999  10.952        0.019   501715        0        5.33768            0            9.999   2.59151         0            562.8
   1   0.240956        1     1    0.374478        1       1909.47         42.6007  40.5947    22.72       42        2      2.6       36       42  11.877   9.926        0.034    0.546522           0.025        0.027   0.680044      0.921  10.424  10.956        0.027   501803        0        4.87462            0            0       2.59551         0            674.59
   1   0.247313        1     1    0.379534        1         76.19         42.9523  40.8152    15.65       43        2      8.4       57       42  11.223  10.734        0.03    -0.144534           0.022        0.031  -0.0123133     0.235  10.858  10.988        0.021   500921        0       -0.086584           0            0       2.62751         0           -237.49
   1   0.267365        2     1    0.395626        1       -138.78         42.9815  40.3227    17.44       41        2     53.4       58       42  12.476   9.656        0.036    0.989374           0.026        0.032   1.11764       1.385  10.345  11.091        0.019   502810        0        8.81752            0            0       2.73051         0           1662.69
   2   0.271753        1     1    0.39919         1       1795.1          42.6214  40.5543    13.03       42        2     17.1       37       42  11.456  10.662        0.03    -0.0571902          0.028        0.022   0.0702467     0.342  10.86   11.114        0.027   501936        0        0.532247           0            0       2.75351         0            828.17
   1   0.275353        2     1    0.402128        1        484.03         42.8594  40.1598    38.35       40        2     33.9       51       42  12.297   9.931        0.036    0.761872           0.027        0.029   0.888647      1.164  10.491  11.133        0.018   503519        0        6.65815            0            0       2.77251         0           2316.17
   2   0.276108        4     2    0.402746        2       1510.69         42.6733  40.4769    54.46       41        2     24         40       42  12.15   10.045        0.021    0.610254           0.019        0.02    0.736892      1.013  10.574  11.137        0.012   502237        0.004    5.35141            0.018        0.008   2.77651         0.011       1120.13
   2   0.293559        3     2    0.417224        2       1096.62         42.7532  40.5421    10.12       42        2     11.6       45       42  11.514  10.848        0.019   -0.134224           0.018        0.018  -0.0105592     0.283  11.034  11.231        0.014   501955        0.001   -0.074443           0.004        0.005   2.87051         0.007        852.93
   2   0.295019        1     1    0.418454        1        369.92         42.8954  40.7483    59.59       42        2     43.3       53       42  11.598  10.856        0.03    -0.0594543          0.023        0.018   0.0639815     0.359  11.057  11.239        0.023   501265        0        0.503298           0            0       2.87851         0             30.34
