  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
  15   1.49897         0    10    1.62024        16        466.01         42.8745  40.6271    30.5        42        2     28.1       52       42  99.999  16.765        0.013   79.5988             0.017        0.012  79.72         81.219  17.806  18.78         9.999     3123        9.999    5.05794e+22        0.004        0.01   10.4195          0.027        503.25
  16   1.49923         2     9    1.62052        17       1941.42         42.5936  40.5507    12.17       42        2     37.1       35       42  19.526  17.819        0.016   -0.87652            0.017        0.015  -0.755231      0.744  18.279  18.782        0.048     5202        0       -6.66               0.007        0.026  10.4215          0.001        846.93
  12   1.49936         0     7    1.62066         2        964.26         42.7716  40.2733     5.59       41        2     17.7       46       42  99.999  17.363        0.019   79.5953             0.043        0.015  79.7166       81.216  17.976  18.783        9.999   503021        9.999    5.05586e+22        0.005        0.048  10.4225          0           1892.87
  15   1.49949         8     9    1.6208         17       1432.27         42.6853  40.3608    26.6        41        2      7.1       41       42  19.324  18.157        0.018   -1.0808             0.016        0.017  -0.959491      0.54   18.49   18.784        0.022     9354        0       -8.0248             0.015        0.035  10.4235          0.002       1569.06
   1   1.49962         1     1    1.62094         1       -692.62         43.0839  40.2307    55.37       40        2      1.9        5       43  19.373  17.851        0.054   -1.03294            0.076        0.051  -0.911621      0.588  18.391  18.785        0.082   503099        0       -7.66771            0            0      10.4245          0           1998.75
   2   1.49962         1     3    1.62094         2       1827.63         42.6204  40.782      7.67       43        2     13.5       37       42  19.404  17.71         0.025   -1.00194            0.028        0.028  -0.880621      0.619  18.226  18.785        0.092   501166        0       -7.45063            0            0      10.4245          0            -57.28
   3   1.49988         1     2    1.62122         1        704.79         42.8326  40.7732     5.56       43        2     57.2       49       42  19.777  17.524        0.025   -0.631224           0.059        0.025  -0.509882      0.99   18.091  18.787        0.058   501170        0       -4.99537            0            0      10.4265          0            -56.14
   2   1.49988         0     2    1.62122         1       -591.16         43.081   40.9366    44.79       43        2     51.8        4       43  99.999  17.959        0.027   79.5908             0.068        0.028  79.7121       81.212  18.428  18.787        9.999   500189        9.999    5.0531e+22         0            0      10.4265          0           -726.14
   2   1.50001         2     2    1.62136         1       -229.87         43.0052  40.5913    21.91       42        2     18.9        0       43  19.498  18.038        0.025   -0.911363           0.069        0.027  -0.790012      0.71   18.442  18.788        0.054   501757        0       -6.87268            0            0      10.4275          0            620.02
   2   1.50001         1     2    1.62136         2        187.82         42.9161  40.1833    44          40        2     57.9       54       42  19.675  17.56         0.029   -0.734363           0.04         0.024  -0.613012      0.887  18.154  18.788        0.064   503392        0       -5.76747            0            0      10.4275          0           2213.97
  17   1.50001         1    10    1.62136        17       1875.4          42.6007  40.3296    19.11       41        2      2.5       36       42  20.437  16.228        0.013    0.0276367          0.015        0.011   0.148988      1.649  17.627  18.788        0.075    10099        0        1.3659             0            0.024  10.4275          0.032       1705.75
  15   1.50014         9     9    1.6215         16        795.1          42.8108  40.5659    15.81       42        2     38.9       48       42  18.936  18.596        0.019   -1.4745             0.018        0.021  -1.35314       0.147  18.724  18.789        0.019     4573        0.048  -11.0012             0.002        0.026  10.4285          0            751.16
   2   1.50027         1     2    1.62164         2       -282.79         43.0103  40.385     32.39       41        2     37.1        0       43  19.88   17.532        0.028   -0.531642           0.034        0.024  -0.410274      1.09   18.099  18.79         0.092   502566        0       -4.15775            0            0      10.4295          0           1416.65
   3   1.5004          1     3    1.62178         2       -108.28         42.9751  40.3004    12.1        41        2     30.5       58       42  20.221  16.983        0.021   -0.19178            0.031        0.022  -0.0704046     1.43   17.859  18.791        0.086   502904        0       -0.882041           0            0      10.4305          0           1749.93
   0   1.5004          2     0    1.62178         1        727.34         42.8321  40.9578    49.88       43        2     55.7       49       42  19.442  99.999        9.999   -0.97078            0.056        9.999  -0.849405      0.651  99.999  18.791        0.045  1003588        0       -7.24572            9.999        9.999  10.4305          0           -772.04
   2   1.50054         0     2    1.62192         1       -369.83         43.0364  40.8025    12.59       43        2     11.1        2       43  99.999  17.859        0.027   79.5851             0.06         0.03   79.7065       81.207  18.328  18.792        9.999   500970        9.999    5.04964e+22        0            0      10.4315          0           -201.13
   2   1.50054         1     2    1.62192         2       -659.98         43.0808  40.3531    24.76       41        2     51          4       43  19.961  17.419        0.024   -0.452919           0.033        0.026  -0.331536      1.169  18.085  18.792        0.078   502677        0       -3.46919            0            0      10.4315          0           1526.65
   0   1.50067         1     0    1.62206         1       1360.45         42.7029  40.5243     5.82       42        2     10.4       42       42  18.683  99.999        9.999   -1.73206            0.084        9.999  -1.61067      -0.11   99.999  18.793        0.095   502025        0      -13.4331             9.999        9.999  10.4325          0            930.98
   2   1.50067         1     2    1.62206         2       2625.44         42.459   40.3363    20.72       41        2     32.4       27       42  19.511  17.894        0.029   -0.904057           0.036        0.031  -0.782667      0.718  18.415  18.793        0.059   502859        0       -6.83086            0            0      10.4325          0           1705.71
  16   1.5008          6     9    1.62219        16       1349.19         42.7092  40.7063    49.51       42        2     33.2       42       42  19.671  17.805        0.017   -0.745194           0.016        0.014  -0.623798      0.877  18.3    18.794        0.032     1367        0.016   -5.84382            0.004        0.035  10.4335          0.032        222.83
   3   1.5008          0     3    1.62219         2       2329.06         42.5111  40.1857    44.57       40        2     40         30       42  99.999  16.26         0.022   79.5828             0.035        0.024  79.7042       81.205  17.632  18.794        9.999   503473        9.999    5.04826e+22        0            0      10.4335          0           2283.04
   2   1.5008          1     2    1.62219         2       2755.24         42.447   40.8744    29.87       43        2     49         26       42  19.618  17.784        0.029   -0.798194           0.035        0.029  -0.676798      0.824  18.275  18.794        0.06    500699        0       -6.18934            0            0      10.4335          0           -390.98
   2   1.50119         2     2    1.6226          1       -410.69         43.0404  40.6346    32.31       42        2     25.6        2       43  19.671  17.862        0.026   -0.748604           0.065        0.027  -0.627192      0.874  18.354  18.797        0.054   501607        0       -5.86811            0            0      10.4365          0            446.58
   2   1.50119         0     2    1.6226          2       1490.92         42.6648  40.0103     2.47       40        2     53.3       39       42  99.999  17.95         0.028   79.5794             0.033        0.029  79.7008       81.202  18.377  18.797        9.999   504447        9.999    5.04619e+22        0            0      10.4365          0           2935.06
   2   1.50132         1     2    1.62274         2       2599.55         42.462   40.2645     3.48       41        2     43.3       27       42  19.662  17.755        0.029   -0.758741           0.038        0.032  -0.637324      0.864  18.288  18.798        0.046   503087        0       -5.93642            0            0      10.4375          0           1985.22
  16   1.50146         8     9    1.62288        15       1374.04         42.7039  40.6773    42.55       42        2     14         42       42  19.371  18.124        0.021   -1.05088            0.017        0.016  -0.929456      0.572  18.491  18.799        0.026     2093        0.047   -7.80278            0.021        0.009  10.4385          0.017        336.4
   2   1.50159         1     2    1.62301         2       1486.18         42.6889  40.9703    52.88       43        2     20         41       42  19.673  17.579        0.025   -0.750011           0.032        0.03   -0.628588      0.873  18.12   18.8          0.072   500082        0       -5.87884            0            0      10.4395          0           -799.81
   3   1.50159         0     3    1.62301         2       2733.28         42.4324  40.1032    24.77       40        2     56.6       25       42  99.999  17.263        0.026   79.576              0.03         0.025  79.6974       81.199  17.955  18.8          9.999   503998        9.999    5.04412e+22        0            0      10.4395          0           2620.06
   2   1.50185         1     2    1.62328         2       2422.69         42.4973  40.3359    20.62       41        2     50.4       29       42  19.484  17.995        0.028   -0.941281           0.033        0.026  -0.819852      0.682  18.373  18.802        0.05    502851        0       -7.06335            0            0      10.4415          0           1700.27
  16   1.50185         7     9    1.62328        15        634.01         42.8407  40.5406     9.74       42        2     26.5       50       42  19.57   17.977        0.017   -0.855281           0.018        0.014  -0.733852      0.768  18.375  18.802        0.029     5182        0.043   -6.54272            0.006        0.013  10.4415          0.007        844.08
   2   1.50238         0     2    1.62382         1        562.29         42.8637  40.9752    54.04       43        2     49.3       51       42  99.999  17.973        0.028   79.5692             0.065        0.029  79.6906       81.193  18.382  18.806        9.999   500019        9.999    5.03999e+22        0            0      10.4455          0           -843.78
   2   1.50238         0     2    1.62382         2       2668.6          42.4432  40.0517    12.41       40        2     35.5       26       42  99.999  17.18         0.025   79.5692             0.035        0.027  79.6906       81.193  17.971  18.806        9.999   504281        9.999    5.03999e+22        0            0      10.4455          0           2818.71
   4   1.50265         4     4    1.62408         3       -290.2          43.0147  40.5062     1.5        42        2     52.8        0       43  19.361  17.967        0.019   -1.07108            0.028        0.024  -0.949647      0.553  18.373  18.808        0.03    502042        0.004   -7.95698            0.017        0.007  10.4475          0.018        947.13
   2   1.50291         1     2    1.62434         2       2761.1          42.4411  40.659     38.17       42        2     28.1       26       42  19.447  18.042        0.028   -0.987343           0.032        0.03   -0.865913      0.637  18.436  18.81         0.063   501612        0       -7.36277            0            0      10.4495          0            450.24
  16   1.50305         7     9    1.62447        16        662.86         42.8355  40.552     12.49       42        2      7.8       50       42  19.274  18.082        0.018   -1.16147            0.018        0.015  -1.04005       0.463  18.475  18.811        0.027     4897        0.102   -8.68351            0.028        0.02   10.4505          0.006        800.61
   2   1.50305         1     2    1.62447         2        389.24         42.8743  40.0477    11.45       40        2     27.4       52       42  19.748  17.834        0.036   -0.687474           0.046        0.03   -0.566046      0.937  18.37   18.811        0.062   504184        0       -5.4389             0            0      10.4505          0           2747.46
  16   1.50318         1     8    1.6246         17       1715.41         42.6395  40.6865    44.77       42        2     22.3       38       42  19.867  17.63         0.015   -0.569604           0.015        0.013  -0.448179      1.055  18.19   18.812        0.102     1938        0       -4.48834            0.002        0.041  10.4515          0.036        310.84
  17   1.50318         1     9    1.6246         17        559.69         42.8471  40.2359    56.62       40        2     49.7       50       42  20.119  17.245        0.014   -0.317604           0.016        0.012  -0.196179      1.307  17.964  18.812        0.086    11787        0       -2.24459            0.003        0.002  10.4515          0.015       2023.55
   3   1.50345         0     2    1.62486         2       -421.53         43.0284  40.0739    17.75       40        2     42.1        1       43  99.999  16.277        0.022   79.5601             0.037        0.019  79.6816       81.185  17.678  18.814        9.999   503990        9.999    5.03448e+22        0            0      10.4535          0           2614.98
   2   1.50371         2     2    1.62512         1        -99.3          42.9832  40.7093    50.24       42        2     59.6       58       42  19.603  18.024        0.028   -0.838122           0.069        0.032  -0.716713      0.787  18.425  18.816        0.048   501382        0       -6.44666            0            0      10.4555          0            167.18
  16   1.50385         8     9    1.62525        16        471.82         42.8664  40.3393    21.43       41        2     59.1       51       42  19.339  18.055        0.017   -1.10325            0.016        0.015  -0.981847      0.522  18.427  18.817        0.025     9643        0.081   -8.20965            0.034        0.003  10.4565          0.022       1619.51
   3   1.50385         1     3    1.62525         1        -70.74         42.9793  40.7768     6.43       43        2     45.5       58       42  20.167  16.412        0.021   -0.275251           0.073        0.02   -0.153847      1.35   17.661  18.817        0.097   501122        0       -1.8205             0            0      10.4565          0            -93.17
   2   1.50385         0     2    1.62525         2       2411.62         42.4943  40.143     34.33       40        2     39.6       29       42  99.999  17.889        0.028   79.5567             0.03         0.03   79.6782       81.182  18.309  18.817        9.999   503732        9.999    5.03241e+22        0            0      10.4565          0           2452.53
   2   1.50398         0     7    1.62538        12        855.96         42.7972  40.4779    54.69       41        2     49.9       47       42  99.999  17.919        0.025   79.5556             0.021        0.057  79.677        81.181  18.511  18.818        9.999   500052        9.999    5.03172e+22        0.035        0.041  10.4575          0.047       1094.68
   2   1.50412         0     2    1.62551         1        453.8          42.8838  40.9535    48.84       43        2      1.6       53       42  99.999  17.607        0.025   79.5545             0.05         0.023  79.6759       81.18   18.186  18.819        9.999   500133        9.999    5.03103e+22        0            0      10.4585          0           -762.76
   3   1.50412         0     3    1.62551         2        -49.15         42.9594  40.1288    30.92       40        2     33.9       57       42  99.999  16.451        0.021   79.5545             0.034        0.02   79.6759       81.18   17.69   18.819        9.999   503688        9.999    5.03103e+22        0            0      10.4585          0           2416.44
   2   1.50425         2     2    1.62563         2        -13.18         42.9599  40.407     37.67       41        2     35.5       57       42  19.453  17.982        0.028   -0.992633           0.035        0.029  -0.871249      0.633  18.411  18.82         0.05    502481        0       -7.40265            0            0      10.4595          0           1340.56
   3   1.50438         0     3    1.62576         2        -42.86         42.9655  40.4091    38.18       41        2     55.9       57       42  99.999  16.257        0.023   79.5522             0.04         0.019  79.6736       81.178  17.647  18.821        9.999   502474        9.999    5.02966e+22        0            0      10.4605          0           1331.33
   1   1.50452         1     1    1.62589         1       -774.49         43.0971  40.1467    35.21       40        2     49.6        5       43  19.842  17.792        0.046   -0.605886           0.075        0.054  -0.484518      1.02   18.32   18.822        0.086   503525        0       -4.7965             0            0      10.4615          0           2320.49
   3   1.50465         0     3    1.62601         1       2011.35         42.5866  40.8236    17.67       43        2     11.6       35       42  99.999  16.014        0.022   79.55               0.038        0.022  79.6713       81.176  17.585  18.823        9.999   500948        9.999    5.02828e+22        0            0      10.4625          0           -214.06
   2   1.50465         1     2    1.62601         2       2357.23         42.5097  40.3351    20.43       41        2     34.9       30       42  19.612  17.857        0.027   -0.837012           0.035        0.03   -0.715653      0.789  18.356  18.823        0.075   502853        0       -6.44382            0            0      10.4625          0           1701.12
  16   1.50479         1    10    1.62614        17       1750.86         42.6293  40.5328     7.86       42        2     45.3       37       42  20.226  16.422        0.013   -0.224138           0.016        0.011  -0.102787      1.402  17.72   18.824        0.073     5582        0       -1.25864            0.005        0      10.4635          0.004        910.64
   2   1.50479         2     2    1.62614         2       1480.78         42.6875  40.8539    24.93       43        2     15.1       41       42  19.642  18.013        0.028   -0.808138           0.036        0.029  -0.686787      0.818  18.459  18.824        0.05    500764        0       -6.26676            0            0      10.4635          0           -347.2
   2   1.50492         2     7    1.62626         1        177.15         42.929   40.6214    29.14       42        2     44.3       55       42  19.657  17.765        0.017   -0.794263           0.058        0.026  -0.672922      0.832  18.241  18.825        0.054   501673        0       -6.17999            0            0.057  10.4645          0            516.2
   0   1.50492         1     0    1.62626         2        705.38         42.8137  40.0219     5.25       40        2     49.4       48       42  19.594  99.999        9.999   -0.857263           0.036        9.999  -0.735922      0.769  99.999  18.825        0.066  1003628        0       -6.56725            9.999        9.999  10.4645          0           2859.82
   3   1.50506         0     3    1.62639         1        360.12         42.8983  40.7997    11.94       43        2     53.9       53       42  99.999  17.186        0.021   79.5466             0.07         0.022  79.6679       81.173  17.972  18.826        9.999   501015        9.999    5.02622e+22        0            0      10.4655          0           -169.3
  16   1.50533         2    10    1.62663        17       1110.48         42.7482  40.4417    46.02       41        2     53.5       44       42  19.837  17.692        0.014   -0.617635           0.015        0.013  -0.496327      1.009  18.227  18.828        0.052     7545        0.123   -4.89533            0.006        0.006  10.4675          0.016       1243.52
   2   1.50546         1     2    1.62676         2       2235.45         42.5446  40.843     22.32       43        2     40.5       32       42  19.649  17.919        0.03    -0.806758           0.032        0.03   -0.685462      0.82   18.393  18.829        0.059   500868        0       -6.2609             0            0      10.4685          0           -283.11
   2   1.50546         1     2    1.62676         2       2483.94         42.4962  40.7797     7.13       43        2     46.5       29       42  19.64   17.756        0.025   -0.815758           0.032        0.026  -0.694462      0.811  18.285  18.829        0.072   501199        0       -6.31692            0            0      10.4685          0            -29.05
   3   1.50546         0     2    1.62676         2        791.16         42.8014  40.1615    38.77       40        2      4.9       48       42  99.999  17.461        0.023   79.5432             0.04         0.025  79.6645       81.17   18.091  18.829        9.999   503526        9.999    5.02416e+22        0            0      10.4685          0           2320.71
   4   1.50573         2     4    1.627           4       2412.82         42.5037  40.5179     4.28       42        2     13.4       30       42  19.58   17.905        0.021   -0.878003           0.025        0.022  -0.756733      0.749  18.361  18.831        0.037   502093        0.004   -6.69513            0.019        0.016  10.4705          0.007        990.22
  15   1.50573         1     9    1.627          17       1907.83         42.6044  40.7458    58.99       42        2     16         36       42  19.728  17.599        0.017   -0.730003           0.015        0.014  -0.608733      0.897  18.177  18.831        0.064      538        0       -5.75507            0.001        0.025  10.4705          0.024         86.01
  18   1.50587         6    11    1.62712        18        845.67         42.7998  40.5065     1.57       42        2     59.4       47       42  19.666  18.024        0.014   -0.793125           0.015        0.013  -0.671868      0.834  18.427  18.832        0.031     6032        0.18    -6.17657            0.013        0.015  10.4715          0.035        983.14
   2   1.506           2     2    1.62725         2       1451.45         42.6933  40.8647    27.52       43        2     35.9       41       42  19.321  18.152        0.029   -1.13925            0.034        0.029  -1.018         0.488  18.515  18.833        0.035   500702        0       -8.50552            0            0      10.4725          0           -389.9
  16   1.506           7     9    1.62725        17       1197.94         42.727   40.2578     1.88       41        2     37.1       43       42  19.589  17.95         0.017   -0.871246           0.016        0.014  -0.750004      0.756  18.402  18.833        0.029    11443        0.015   -6.65586            0.011        0.025  10.4725          0.003       1961.39
   2   1.50641         0     2    1.62761         2       -495.49         43.0458  40.2008    48.18       40        2     44.8        2       43  99.999  17.471        0.025   79.5354             0.035        0.024  79.6566       81.163  18.115  18.836        9.999   503228        9.999    5.01935e+22        0            0      10.4755          0           2121.64
   1   1.50655         1     1    1.62773         1       -756.85         43.0988  40.3392    21.4        41        2     55.7        5       43  19.579  17.855        0.054   -0.885727           0.063        0.045  -0.764548      0.742  18.289  18.837        0.091   502731        0       -6.74503            0            0      10.4765          0           1577.34
   3   1.50668         0     2    1.62785         1        974.5          42.785   40.9365    44.76       43        2      5.9       47       42  99.999  17.262        0.024   79.5332             0.059        0.022  79.6543       81.161  17.99   18.838        9.999   500250        9.999    5.01798e+22        0            0      10.4775          0           -682.48
   3   1.50668         1     2    1.62785         2       1680.85         42.6502  40.8795    31.07       43        2      0.8       39       42  19.929  17.487        0.033   -0.536846           0.032        0.022  -0.415684      1.091  18.14   18.838        0.076   500624        0       -4.21282            0            0      10.4775          0           -440.99
   6   1.50682         1     6    1.62796         3       -192.06         42.9962  40.5118     2.83       42        2     46.4       59       42  20.223  16.228        0.014   -0.243965           0.034        0.013  -0.122821      1.384  17.648  18.839        0.078   502020        0       -1.48316            0.004        0.046  10.4785          0.028        928.76
   2   1.50682         2     2    1.62796         1        845.93         42.8084  40.8942    34.62       43        2     30.3       48       42  19.347  18.066        0.024   -1.11996            0.065        0.03   -0.998821      0.508  18.445  18.839        0.036   500500        0       -8.35075            0            0      10.4785          0           -521.99
   2   1.50682         0     2    1.62796         1       -266.16         43.0199  40.9504    48.09       43        2     11.5        1       43  99.999  18.177        0.028   79.532              0.08         0.031  79.6532       81.16   18.567  18.839        9.999   500124        9.999    5.01729e+22        0            0      10.4785          0           -770.38
   2   1.50682         2     2    1.62796         2       1570.22         42.6544  40.177     42.47       40        2     15.9       39       42  19.423  18.006        0.028   -1.04396            0.036        0.03   -0.922821      0.584  18.419  18.839        0.046   503480        0       -7.76826            0            0      10.4785          0           2289.32
   4   1.50696         3     4    1.62808         4       2329.85         42.5181  40.4663    51.92       41        2      5.4       31       42  19.475  18.085        0.02    -0.993083           0.022        0.022  -0.871957      0.635  18.489  18.84         0.027   502315        0.006   -7.41589            0.024        0.053  10.4795          0.019       1188.4
   2   1.50696         2     2    1.62808         1        741.13         42.8287  40.9138    39.31       43        2     43.1       49       42  19.435  18.175        0.029   -1.03308            0.075        0.033  -0.911957      0.595  18.554  18.84         0.048   500375        0       -7.69075            0            0      10.4795          0           -600.73
   3   1.50709         0     3    1.6282          2       1904.53         42.5873  40.0377     9.05       40        2     14.4       35       42  99.999  16.48         0.024   79.5298             0.029        0.022  79.6509       81.158  17.812  18.841        9.999   504321        9.999    5.01592e+22        0            0      10.4805          0           2844.13
   2   1.50723         1     2    1.62832         2       2307.45         42.5287  40.7364    56.74       42        2     43.2       31       42  19.727  17.854        0.024   -0.743317           0.032        0.03   -0.622231      0.885  18.342  18.842        0.074   501351        0       -5.85295            0            0      10.4815          0            134.5
  16   1.50723         9     9    1.62832        17        906.73         42.7866  40.4386    45.26       41        2     11.9       47       42  19.479  18.047        0.018   -0.991317           0.016        0.015  -0.870231      0.637  18.457  18.842        0.029     7569        0.029   -7.40527            0.011        0.003  10.4815          0.003       1249.03
   3   1.50737         0     2    1.62843         2       -118.56         42.9767  40.2851     8.42       41        2     36.1       58       42  99.999  16.807        0.024   79.5276             0.034        0.022  79.6486       81.156  17.794  18.843        9.999   502952        9.999    5.01454e+22        0            0      10.4825          0           1808.85
   6   1.50737         2     4    1.62843         3       1164.63         42.747   40.8401    21.61       43        2     49.3       44       42  20.025  17.427        0.023   -0.446434           0.028        0.018  -0.325367      1.182  18.105  18.843        0.059   500838        0.011   -3.42247            0.01         0.034  10.4825          0.024       -302.48
   2   1.50737         2     2    1.62843         2       -348.23         43.0131  40.0242     5.8        40        2     47.2        0       43  19.339  18.09         0.032   -1.13243            0.029        0.034  -1.01137       0.496  18.481  18.843        0.048   504265        0       -8.45333            0            0      10.4825          0           2810.39
   2   1.50764         2     2    1.62867         1       -274.51         43.0144  40.624     29.75       42        2     52          0       43  19.41   18.072        0.027   -1.06367            0.074        0.029  -0.942641      0.565  18.459  18.845        0.04    501645        0       -7.91579            0            0      10.4845          0            492.16
  12   1.50764         5     8    1.62867        14        204.15         42.9149  40.2549     1.18       41        2     53.6       54       42  19.795  17.681        0.016   -0.678666           0.018        0.013  -0.557641      0.95   18.224  18.845        0.037    11324        0.03    -5.38593            0.008        0.02   10.4845          0.013       1937.12
   1   1.50764         1     1    1.62867         1         97            42.9436  40.599     23.75       42        2     37         56       42  20.044  17.715        0.064   -0.429666           0.077        0.063  -0.308641      1.199  18.292  18.845        0.099   501747        0       -3.27508            0            0      10.4845          0            600.54
   2   1.50764         1     2    1.62867         2       2810.42         42.4234  40.3111    14.67       41        2     24.1       25       42  19.728  17.811        0.027   -0.745666           0.036        0.039  -0.624641      0.883  18.399  18.845        0.065   502954        0       -5.87066            0            0      10.4845          0           1810.64
  18   1.50778         7    10    1.62878        19       1251.23         42.7223  40.4732    53.57       41        2     20.4       43       42  19.772  17.754        0.015   -0.702781           0.014        0.012  -0.581779      0.926  18.297  18.846        0.027     6880        0.043   -5.56689            0.01         0.011  10.4855          0.031       1125.89
  16   1.50833         7     9    1.62924        17        287.55         42.8995  40.2682     4.37       41        2     58         53       42  19.511  18.095        0.018   -0.968237           0.017        0.015  -0.847329      0.661  18.483  18.85         0.028    11066        0.054   -7.25964            0.013        0.01   10.4895          0.03        1888.58
   3   1.50833         0     3    1.62924         2       1680.48         42.632   40.118     28.31       40        2     55         37       42  99.999  16.492        0.022   79.5198             0.032        0.023  79.6407       81.149  17.691  18.85         9.999   503831        9.999    5.00974e+22        0            0      10.4895          0           2523.16
   0   1.50833         1     6    1.62924        12        269.74         42.9027  40.2644     3.44       41        2      9.8       54       42  19.61   99.999        0.028   -0.869237           0.024        9.999  -0.748329      0.76   18.429  18.85         0.092   500101        0       -6.65447            9.999        0.029  10.4895          0.038       1902.99
   2   1.50847         1     2    1.62935         2        -98.04         42.9696  40.1643    39.43       40        2     10.7       58       42  19.627  17.98         0.026   -0.85335            0.032        0.031  -0.732466      0.776  18.402  18.851        0.064   503469        0       -6.55965            0            0      10.4905          0           2277.37
   3   1.50847         1     4    1.62935         3       1047.37         42.7695  40.8555    25.33       43        2     10.3       46       42  19.37   17.823        0.026   -1.11035            0.041        0.027  -0.989466      0.519  18.326  18.851        0.084   500730        0       -8.27862            0.015        0.04   10.4905          0.063       -365.93
   3   1.5086          1     3    1.62946         1       -624.42         43.0805  40.6203    28.87       42        2     49.9        4       43  20.191  17.129        0.021   -0.290462           0.067        0.022  -0.169604      1.339  17.908  18.852        0.071   501649        0       -1.98036            0            0      10.4915          0            495.41
   2   1.50874         0     2    1.62957         1       -646.09         43.0914  40.9358    44.6        43        2     29.1        5       43  99.999  17.709        0.035   79.5164             0.058        0.026  79.6373       81.146  18.318  18.853        9.999   500192        9.999    5.00769e+22        0            0      10.4925          0           -724.61
   3   1.50874         0     2    1.62957         1       -424.6          43.0475  40.8362    20.69       43        2     51          2       43  99.999  16.737        0.025   79.5164             0.055        0.02   79.6373       81.146  17.803  18.853        9.999   500782        9.999    5.00769e+22        0            0      10.4925          0           -333.23
   2   1.50888         2     2    1.62968         2       -440.67         43.0416  40.4412    45.89       41        2     29.6        2       43  19.377  18.145        0.033   -1.10668            0.038        0.031  -0.98588       0.523  18.499  18.854        0.047   502327        0       -8.25086            0            0      10.4935          0           1193.68
   4   1.50888         3     4    1.62968         3       1110.59         42.7579  40.8689    28.54       43        2     28.3       45       42  19.503  18.069        0.02    -0.980685           0.03         0.023  -0.85988       0.649  18.475  18.854        0.035   500664        0.033   -7.34239            0.051        0.01   10.4935          0.015       -416.13
   3   1.50916         1     2    1.62991         2        390.05         42.8771  40.1554    37.29       40        2     37.4       52       42  19.699  17.753        0.026   -0.786905           0.032        0.027  -0.666157      0.843  18.286  18.856        0.088   503543        0       -6.15082            0            0      10.4955          0           2329.94
  17   1.50916         1     9    1.62991        17       1838.78         42.6144  40.6097    26.34       42        2     52         36       42  19.974  17.42         0.015   -0.511905           0.016        0.013  -0.391157      1.118  18.107  18.856        0.084     3764        0       -4.00149            0.002        0.028  10.4955          0.012        613.68
   2   1.50916         0     2    1.62991         2       1959.35         42.5792  40.1192    28.61       40        2     45.2       34       42  99.999  17.652        0.028   79.5131             0.03         0.025  79.6338       81.143  18.265  18.856        9.999   503841        9.999    5.00563e+22        0            0      10.4955          0           2528.74
   2   1.5093          1     2    1.63001         2       2675.21         42.4584  40.7062    49.48       42        2     30.4       27       42  19.87   17.663        0.028   -0.617015           0.033        0.029  -0.496296      1.013  18.223  18.857        0.065   501468        0       -4.90092            0            0      10.4965          0            263.57
   2   1.5093          1     2    1.63001         2       2069.17         42.5635  40.3103    14.48       41        2     48.8       33       42  19.64   17.875        0.025   -0.847015           0.027        0.025  -0.726296      0.783  18.324  18.857        0.06    502934        0       -6.52535            0            0      10.4965          0           1787.79
   2   1.50943         0     2    1.63012         2        -81.31         42.9697  40.2875     9          41        2     11         58       42  99.999  17.33         0.04    79.5109             0.043        0.028  79.6316       81.141  18.118  18.858        9.999   502944        9.999    5.00426e+22        0            0      10.4975          0           1800.9
   3   1.50943         2     3    1.63012         3       1088.13         42.7427  40.0717    17.2        40        2     33.8       44       42  19.516  18.073        0.022   -0.972124           0.03         0.021  -0.851434      0.658  18.444  18.858        0.039   504085        0.03    -7.2895             0.003        0.03   10.4975          0.011       2680.89
   3   1.50971         0     2    1.63034         2       -415.02         43.0253  40.0097     2.33       40        2     31.2        1       43  99.999  17.377        0.025   79.5087             0.028        0.023  79.6293       81.139  18.05   18.86         9.999   504353        9.999    5.00289e+22        0            0      10.4995          0           2863.72
   2   1.50971         2     2    1.63034         2       -166.26         42.9867  40.3222    17.33       41        2     12         59       42  19.521  18.001        0.031   -0.969341           0.032        0.033  -0.848712      0.661  18.429  18.86         0.052   502813        0       -7.27292            0            0      10.4995          0           1663.51
  16   1.50971         0    10    1.63034        17        459.93         42.8684  40.3276    18.61       41        2      6.1       52       42  99.999  16.763        0.014   79.5087             0.016        0.011  79.6293       81.139  17.814  18.86         9.999     9873        9.999    5.00289e+22        0.004        0.02   10.4995          0.028       1664.62
   3   1.50999         0     2    1.63056         2       2504.36         42.4877  40.5749    17.98       42        2     15.9       29       42  99.999  16.272        0.023   79.5064             0.032        0.02   79.627        81.137  17.699  18.862        9.999   501884        9.999    5.00152e+22        0            0      10.5015          0            770.59
   2   1.51013         1     2    1.63066         2       1769.54         42.632   40.8124    14.98       43        2     55.4       37       42  19.703  17.965        0.028   -0.790661           0.037        0.036  -0.670129      0.84   18.39   18.863        0.058   501006        0       -6.1794             0            0      10.5025          0           -177.44
   2   1.51055         0     2    1.63098         2        742.43         42.8114  40.1922    46.14       40        2     41.1       48       42  99.999  17.909        0.027   79.502              0.031        0.028  79.6225       81.133  18.359  18.866        9.999   503360        9.999    4.99879e+22        0            0      10.5055          0           2199.74
